year,kolkhoz_budget_union,cooperation_budget_union,non-commercial_operation_budget_union,all_budget_union,kolkhoz_budget_republics,sovkhoz_budget_republics,cooperation_budget_republics,non-commercial_operation_budget_republics,local_taxes_republics,all_budget_republics,kolkhoz_budget_USSR,sovkhoz_budget_USSR,cooperation_budget_USSR,non-commercial_operation_budget_USSR,local_taxes_USSR,all_budget_USSR
1933,73,10.8,10,167.8,322.6,316,51.6,186.5,0.6,858.6,322.6,316,51.6,186.5,0.6,1264
1934,70.7,7,7,284.8,247.3,331.8,128.4,224.6,0.6,1079.1,247.3,331.8,128.4,224.6,0.6,962.7
1935,59.7,7.4,2.7,139.6,189.3,415.3,194.5,300.7,6.1,1106.1,258.4,415.3,194.5,300.7,6.1,1175.6
1936,14.8,12,12.3,103.2,324.8,453.3,270,357.5,3.6,1409.2,413.2,453.3,270,357.5,3.6,1468.7
1937,120.6,12.9,16.8,216.6,439,513.3,364.1,357.5,3.6,1920.7,534.7,513.7,364.1,357.5,3.6,1686.6
1940,147.9,38.2,,186.1,652.3,,1749.7,640.7,,3042.7,800.2,,1787.9,640.7,,3228.8
1950,1269.8,64.6,,1334.4,1269.8,,2184.9,759.8,,4214.5,2539.6,,2249.5,759.8,,5548.9
1951,1903.8,102.4,,2006.2,1903.9,,2766,763.7,,5433.6,3807.7,,2868.4,763.7,,7439.8
1952,2119.2,115.5,,2234.7,2119,,3461.8,733.3,,6314.2,4238.3,,3577.3,733.3,,8548.9
1953,3129.2,104.3,,3233.5,2086.2,,3420,733.2,,6239.4,5215.4,,3524.3,733.2,,9472.9
1954,3169.7,108.7,,3278.4,2113.2,,4259.6,781.4,,7154.2,5282.9,,4368.3,781.4,,10432.6
1955,3751.4,94.6,,3846,2500.9,,5201.9,836.1,,8538.9,6252.3,,5296.5,886.1,,12384.9
